"name","description","salary","publication_date","region_name","employer","main_skills","work_experience","work_schedule","id"
аналитик данныхспециалист по поиску информации в сети интернет,"российская молодая и перспективная организация, где современные it-решения и четкость рабочих процессов соединяются, чтобы предоставлять безупречный сервис для своих клиентов. главная цель - актуализация существующих данных, поддержка их качества и пополнение базы данных. что предстоит делать: - проверка контрагентов на основе информации в сети интернет, базам данных. - анализ кредитоспособности и финансового положения страхователей, заёмщиков. - подготовка обоснованных заключений (справок) о финансовом состоянии проверяемых физических и юридических лиц. - работа в режиме многозадачности. - работа с большим объемом информации. что требуется: - опыт работы по проведению анализа финансово-хозяйственной деятельности – будет вашим преимуществом. - пользователь пк на уровне продвинутого пользователя (работас публичными web-сервисами, базами данных). - поиск информации в сети интернет, накопление и обработка информации в структурированном виде, подготовка справок, отчетов, заключений. - ответственность, чёткость выполнения поставленных задач, кропотливость, креативный подход к сбору информации, гибкий ум, быстрое принятие решений и обучаемость. - умение найти, получить, собрать и проанализировать информацию. - умение правильно формулировать необходимые запросы. - аналитический склад ума и развитое логическое мышление. умеете четко отделить главное от второстепенного. - концентрация на деталях и въедливость. - стремление докопаться до истины. - рассудительный, внимательный, самоорганизованный. - любопытный и наличие исследовательской жилки. - ориентация на результат что у нас есть для вас: - работа в гибридном (1-2 дня офис и остальное время удаленно) или в удаленном формате. - техническое обеспечение работы. - стабильный доход, условия обсуждаются индивидуально, с успешными кандидатами. - график 5/2 или индивидуальный подход к каждому кандидату. - работа в команде профессионалов. - мы предоставляем вам все инструменты для комфортной и результативной работы.",50000,"2024-01-24 00:00:",москва,автономная некоммерческая организация институт правовых технологий,аналитическое мышление;управление базами данных;коммуникативная грамотность;коммуникативная грамотность;обеспечение информационной безопасности;информационная грамотность;информационная грамотность;управление базами данных;информационная грамотность;информационная грамотность;статистическая обработка данных;самоорганизованность,"1-3",гибкий график,85
itsm-менеджер,"уже 25 лет мы помогаем людям и стремимся делать это на высочайшем уровне качества! мы - многопрофильные медицинские центры «поликлиника.ру», стоматологические клиники «зуб.ру», центр профессионального здоровья «медосмотры.ру», клиническая и зуботехническая лаборатории, направление «помощь на дому» и медицинский институт им. святителя луки. в сотруднике мы ценим: профессионализм. пациентоориентированность. командная работа. ответственность. конструктивное взаимодействие. коммуникабельность. ориентир на развитие. чистоплотность. устная и письменная грамотность. обязанности itsm :  организация работ по автоматизации и оптимизации процессов обработки запросов; контроль выполнения запросов; координация работы подразделений (маршрутизация, приоритезация, распределение функциональных задач, решение конфликт интересов); оперативный контроль качества обработки запросов; ведение и актуализация базы знаний, разработка инструкций для пользователей и специалистов; анализ эффективности и качества предоставления услуг, предложение мер по их повышению; консультирование сотрудников в рамках процессов обработки запросов; составление отчетов, регулярных или по запросу;  требования:  образование: высшее техническое/экономическое; опыт: не менее 3 лет в должности; знания/навыки: уверенное знание основных процессов itil (управление инцидентами, управление сервисными запросами, управление, проблемами, управление изменениями, управление активами, управление конфигурациями); уверенные знания не менее одной itsm-системы уровня enterprise; грамотная устная и письменная речь; сертификация по itil3/itil4 как преимущество.  условия:  график работы: понед-пятн.5/2 с 09:00-18:00;   работа в компании, занимающее устойчивое положение на рынке более 24 лет; работа в крупнейшей сети клиник москвы (27 филиалов). современное медицинское оборудование. широкие возможности внутреннего совместительства; оформление по тк , официальная з/плата, оплачиваемый отпуск и больничный; конкурентная заработная плата (оклад+кпэ); ежегодная индексация заработной платы, доплата за стаж; программы развития в корпоративном университете (повышение квалификации, дополнительное обучение по специальности, организация процесса обучения в рамках нмо); дмс (включая стоматологию) для сотрудников, корпоративные скидки для членов семьи; корпоративные мероприятия, праздники, подарки детям. ",252000,"2024-03-11 00:00:",москва,поликлиника.ру,применение методов itsm;servicedesk,"3-6",полный день,152
бизнес-аналитик / аналитик данных,"second sight - амбициозная ит-компания, объединившая в себе компетенции нескольких команд с более чем 10-летним опытом работы в сфере машинного обучения, больших данных, анализа социальных сетей и разработки программного обеспечения. мы ищем бизнес-аналитика / аналитика данных, который будет работать над развитием наших программных продуктов. какие задачи стоят перед сотрудником:   освоить текущие методологии подготовки и аналитики данных, лежащих в основе нашего продукта, обеспечивать выполнение аналитических работ в рамках внедренных процессов по обновлению данных;     выявлять возникающие коллизии или “узкие места” текущих методологий, предлагать варианты по их устранению;   активно участвовать в разработке новых идей по улучшению продукта, искать новые пути, новые данные, формулировать и проверять гипотезы;   принимать непосредственное участие в развитии продукта - адаптировать продукт под потребности клиентов, находить новые возможности его применения, предлагать и прорабатывать идеи по встраиванию продукта в бизнес-процессы клиентов;   собирать и анализировать результаты использования продукта клиентами;   проводить пилотные проекты с клиентами, рассчитывать и анализировать эффект, готовить отчеты о результатах пилотных проектов;   наполнять базу знаний по продукту.   какие компетенции мы ожидаем увидеть в соискателе:   отличные знания и технические навыки работы с big data - знание python и библиотек работы с данными, умение объединять, преобразовывать, дедуплицировать, фильтровать большие массивы данных;   знание sql и умение извлекать данные из реляционных бд;   логическое мышление - умение выстраивать последовательную работу по проверке гипотез, делать обоснованные выводы из имеющихся результатов аналитики;   математический бэкграунд - умение правильно считать статистику, метрики, показатели, прогнозы, в том числе умение писать формулы в excel.   грамотная письменная и устная речь;   проактивность и инициативность - действовать, а не ждать, если есть мысли или идеи по улучшению процессов и продукта.   требования:   опыт работы бизнес-аналитиком от 2 лет в коммерческой разработке;   опыт работы с большими данными.   со своей стороны мы предлагаем все необходимые условия для эффективной и комфортной работы:   конкурентоспособную полностью официальную заработную плату,   заботу о сотрудниках и их семьях (дмс для сотрудников, компенсацию социально значимых расходов, материальную помощь в трудных жизненных ситуациях, услуги корпоративного психолога, бесплатная йога рядом с офисом);   профессиональное обучение за счет компании;   современную и мощную технику для работы;   гибридный формат работы: офис в 5 минутах от ст.м.парк победы, возможность удаленной работы из дома;   гибкий график работы, ненормированный рабочий день: +3 дня к ежегодному оплачиваемому отпуску;   являемся аккредитованной ит-компанией, поэтому сотрудникам доступны все положенные льготы (ит-ипотека, отсрочка);   отсутствие бюрократии, поддержание инициатив, доброжелательная атмосфера.   ждем вашего отклика! если ваш опыт, указанный в резюме, мало релевантен профилю вакансии, пожалуйста, напишите в сопроводительном письме, почему нам необходимо вас рассмотреть на данную позицию.",280000,"2024-01-22 00:00:",москва,секонд сайт,"","0",полный день,162
аналитик sql,"devino telecom – международная телекоммуникационная компания, лидер рынка персонализированных коммуникаций. по результатам исследования аналитического центра раэк devino telecom признана лидером среди поставщиков sms-информирования в сегменте retail. среди наших клиентов крупнейшие торговые сети, банки и государственные компании, такие как эльдорадо, м.видео, банк уралсиб, почта россии, marykay, kari, modis, техносила, adidas, tervolina и многие другие. возможности инфраструктуры devino telecom по скорости и надежности приближаются к мощностям операторов «большой тройки». мы предоставляем сервис в режиме 24/7 с высочайшим уровнем доступности. в среднем за месяц платформа обрабатывает около 1 миллиарда сообщений. у нас накоплен большой опыт в построении высоконагруженных сервисов с использованием технологий. мы в поисках аналитика данных, который будет заниматься сверкой и аналитикой больших объемов данных в корпоративных бд. обязанности:   сверка абонентских плат (продажа и закупка). аналитика по различным источникам (базам) данных.   сверка трафика с данными операторов, акцепт счетов для бухгалтерии, корректировки по результатам сверки в dwh.   ручной сбор трафика по отдельным клиентам, сверка трафика с хранилищем dwh.   ручной запуск отдельных отчетов в pbi.   задачи по автоматизации бизнес-процессов.   взаимозаменяемость с коллегами по отделу (участок выставления счетов).   требования:   знание sql: простые и сложные запросы, понимание структуры базы данных.   понимание процесса сверки больших массивов данных.   опыт участия в автоматизации бизнес-процессов с учетом потребностей и пожеланий бизнеса.   умение и желание разбираться в предметной области.     релевантный опыт в коммерческих компаниях (предпочтительно it, телеком) от 1 года.​​​​​ условия:    официальное оформление по тк рф. своевременная &quot;белая&quot; оплата труда, оклад - 130 000 net на испытательный срок, от 150 000 net + kpi после. график: 5/2 с началом рабочего дня с 8 до 11 по мск (возможны сдвиги при проведении работ в неурочное время). удаленка 3 раза в неделю. офис в шаговой доступности от м. технопарк. корпоративный дмс. гарантированный профессиональный рост - большой объем данных, вариативность при использовании sql, использование различных инструментов обработки, анализа и выгрузки данных - sql, pbi, crm. ",180000,"2024-01-22 00:00:",москва,devino telecom,"","1-3",полный день,347
ведущий специалист нси,"приглашаем в команду ведущего специалиста нси в связи с расширением пула сложных и интересных задач на производстве. локация: г. обнинск , 80 км от москвы. оплата жилья при переезде- предоставляется сумма на оплату съема квартиры или дома.​​​​​​ компания - лидер рынка по производству антифризов, автомасел, смазочных материалов и других автомобильных спецжидкостей. ит-подразделение является отдельно выделенной, аккредитованной как ит, компанией. со всеми вытекающими отсюда плюсами. какие задачи предстоит выполнять:  разработка принципов классификации и кодирования номенклатурных объектов, планирование работ по направлению развития нси; нормализация и формирование перечня необходимых и достаточных технических характеристик для классификации номенклатурных групп; разработка и проектирование бизнес-процессов управления нси; разработка и экспертиза методических документов и регламентов по ведению нси; консолидация и обработка требований к справочным данным (мастер-данным), в том числе к уровню качества и к алгоритмам формирования эталонных данных; участие в проектах по созданию и изменению централизованно ведущейся нси; участие в работах по обработке инцидентов, возникающих при эксплуатации централизованно ведущейся нси.  от вас ожидаем:  высшее образование (желательно техническое); экспертные знания процессов обработки и ведения нси (хранение и управление изменениями мастер-данных, валидация и очистка данных, передача мастер данных в системы подписчики) и других смежных процессов; понимание архитектуры решений мдм систем; участие в проектах разработки структуры нси, автоматизации процессов ведения нси; опыт внедрения систем на платформе 1с (крайне желательно) не менее 3х лет; опыт работы в проектах по интеграции корпоративных приложений; умение работать в команде, обучаемость, нацеленность на результат, ответственность, аккуратность, коммуникабельность.  что готовы предложить:  все плюсы аккредитованной ит компании; зарплата: от 230 000 руб. на руки. (в зависимости от квалификации, окладно -премиальная система); профессиональная современная команда, включая руководителей и много амбициозных интересных задач; официальное трудоустройство и все социальные гарантии; дмс; локация: г. обнинск. предусмотрена компенсация квартиры и гсм.  если наша вакансия заинтересовала, скорее откликайтесь, мы будем рады познакомиться и пригласить вас на собеседование!",230000,"2024-02-11 00:00:",москва,кск эксперт,работа с erp-системами;аналитическое мышление;управление данными,"3-6",полный день,2
аналитик bi,"компания «астор» с 2000 года занимается разработкой и внедрением высокотехнологичных программных продуктов для автоматизации розничной торговли. цифровая экосистема продуктов компании включает в себя решения класса erp, ecommerce, scm, loyalty&amp;crm, shelfspace, wms, tms, analytics. “астор” — отраслевой лидер. мы следим за технологическими трендами, и активно применяем современные технологии (ai, ml, bigdata, mobile, web и тд), чтобы помочь нашим клиентам повысить эффективность своих операций. чем нужно знаниматься:  формализация требований заказчиков в виде историй взаимодействия с данными; прототипирование отчетов и информационных панелей; разработка отчетов и информационных панелей для различных функциональных областей; конфигурация семантического слоя bi-решения; поддержка глоссария бизнес-терминов;сопровождение клиентских проектов.  чего мы ждем от тебя:  опыт в качестве bi аналитика от 2-х лет; опыт проектирования и разработки отчетов под требования заказчиков; опыт конфигурации семантического слоя bi; навыки работы с различными bi-решениями; свободное владение sql; базовые знания баз данных; владение mdx; умение объяснять и адаптировать сложные системы и технические термины к ясной лаконичной форме; умение коммуницировать с командой, планировать задачи; английский язык на уровне b2 или выше.  будет преимуществом :  знание процессов розничных компаний; сильное техническое или математическое образование (мфти, мгту, вшэ, мгу, мифи и др.); достижения по итогам участия в олимпиадах по техническим дисциплинам (математика, программирование, физика). опыт участия в проектах по созданию и развитию аналитических решений.  что мы предлагаем:  работу в аккредитованной it-компании оформление по тк рф прозрачную систему финансовой мотивации наставничество и обмен опытом перспективы профессионального и карьерного роста возможность выбрать комфортный режим работы: гибридный, удаленный, в офисе возможна удаленная работа из-за границы, в том числе из турции, грузии, армении, казахстан, узбекистан и др. график работы - гибкий, с учетом часовых поясов дружественная рабочая атмосфера и комфортная коммуникация с руководителем.       ",200000,"2024-03-11 00:00:",москва,астор,разработка bi;sql;знание английского языка;управление базами данных;коммуникативная грамотность,"0",удаленная работа,47
аналитик,"  мы международный финтех стартап empay.com. в команду по разработке приглашаем system analyst.   обязанности: - выявление и анализ бизнес-требований, разработка технических спецификаций и понимание принципов проектирования архитектуры, включая ddd, user story и use case; - разработка и декомпозиция требований к данным, ui (макеты в figma) и api (openapi, asyncapi); - разработка критериев готовности продукта (dod), участие в создании и проверке тест-кейсов; - активное взаимодействие с владельцем продукта, разработчиками, тестировщиками, выстраивание ожиданий бизнеса по рискам и срокам реализации - постановка задач для разработчиков - грамотная декомпозиция и оценка системных требований в бэклог, управление изменениями в элементах бэклога - проектирование и сопровождение комплексных интеграционных решений; - управление и ведение документации по проекту; - сопровождение этапов разработки и тестирования, участие в функциональном и uat тестировании; - участие в проработке нефункциональных требований и пользовательской документации; - разработка требований к backend и frontend системам, участие в проработке архитектурных решений; - построение моделей бизнес-процессов и моделей данных.   требования: - техническое образование/бэкграунд; - понимание процесса разработки и поддержки по в разрезе различных методологий и подходов (agile, waterfall); - понимание принципов ci/cd; - умение пользоваться git/github и markdown; - знание инструментов управления проектами и документацией (confluence, jira, github projects); - опыт написания технических заданий, требований и сценариев; - владение нотациями er, uml и bpmn для моделирования процессов и систем; - опыт проектирования логической модели данных; - понимание процесса интеграций между информационными системами; - опыт описания интеграционных взаимодействий; - навыки работы с инструментами для тестирования api (curl, postman); - знание принципов микросервисной архитектуры и очередей сообщений (rabbitmq); - понимание форматов json, yaml; - интерес к решению сложных нестандартных задач и желание развиваться в области анализа; - работоспособность, аккуратность в работе, ответственность за результат; - умение грамотно излагать свои мысли в устной и письменной форме; - понимание архитектуры по; - понимание типовых решений для клиент-серверных приложений; - опыт работы в роли системного аналитика от 2 лет.   будет плюсом: - опыт работы в atlassian confluence, jira; - опыт работы с sql и/или nosql базами данных; - опыт работы с docker, kubernetes; - опыт в фин. тех. и банковской сфере.   мы предлагаем: • возможность работать в перспективном финтех стартапе; • современные подходы к архитектуре и технологический стек (elixir/phoenix, flutter, typescript/react, docker, kubernetes, werf) • возможность предлагать свои идеи и влиять на результат; • наращивать экспертизу в финтех/open banking; • комфортную атмосферу – мы уважаем друг друга, открыты к общению на любые темы и ценим увлеченных людей; • заработная плата (₽): от 150к и выше по результатам собеседования + опцион; • удаленная работа, fulltime; • возможность релокации france, uk (после испытательного срока, необязательно).",200000,"2024-01-25 00:00:",москва,соушл импакт технолоджис,"","1-3",удаленная работа,226
data engineer,"привет! мы – dodo brands, международная компания, развивающая 3 бренда: dodo pizza, drinkit и kebster. dodo pizza – самый крупный бренд и лидер в россии по количеству открытых пиццерий. всего у нас 880+ пиццерий в 17 странах, а ещё есть донерные и кофейни. мы разрабатываем мобильное приложение и сайт для заказа пиццы. кроме того – собственную информационную систему dodo is, которая помогает пиццамейкерам приготовить заказ, курьерам привозить горячую пиццу, а менеджерам на смене и управляющим видеть, насколько эффективны процессы в пиццериях и кофейнях. наша компания основана на принципах радикальной открытости и доверия. в dodo brands каждый становится предпринимателем в рамках своей роли и может по-настоящему творить и менять. открытость помогает нам развивать долгосрочные партнёрские отношения с клиентами, сотрудниками и франчайзи, основанные на взаимном доверии и принципе win-win. о нашей команде цель нашей команды – сделать dodo brands data-driven компанией. data engineering создает data platform - децентрализованную платформу данных для ml, data analytics, reporting и dashboarding. data platform решает задачи от построения простых дашбордов до создания и выкатки в продакшн deep learning моделей. наша конечная цель - дать it такой инструмент, чтобы каждый мог загружать и пользоваться данными без участия команды дата инженеров. кого мы ищем? в первую очередь мы ищем коллегу с бэкграундом в разработке. нам важнее твое знание инженерных практик, опыт и системное мышление, чем количество лет в дата инженерии. чем предстоит заниматься:  разработка инфраструктуры и инструментов для self-serve data platform:  разработка elt/etl-инструмента, ci/cd для пайплайнов, интеграция данных платформы с другими системам, автоматизация lineage, data quality, подготовка платформы к data mesh подходу, развертывание и обслуживание data сервисов: superset, kafka connect и т.д.   проектирование модели данных детального слоя под бизнес требования с оптимальным хранением данных, помощь другим командам в работе с данными, с интеграциями, с нашими инструментами, с оптимизациями (центр экспертизы по работе с аналитическими данными), mlops: ci/cd для ml проектов, создание тулинга для вывода ml-моделей в production, доработка spark коннекторов к azure ресурсам, доработка superset’а, написание платформенных библиотек.  наш стек технологий python, spark (batch и structured streaming на платформе databricks), deltalake, azure data explorer, azure eventhubs (kafka api), kafka connect (debezium), github actions, mlflow, superset. что нужно знать?  уверенное владение одним из языков программирования: python, scala, java, построение пайплайнов данных с мониторингом и логированием; опыт в оптимизации/изменении существующих пайплайнов, spark, spark streaming (у нас structured streaming), system design, дизайн dwh, хорошие навыки в моделировании данных как для классических реляционных моделей, так и для dwh.  будет плюсом:  apache kafka и/или rabbitmq, mpp/cloud data warehouse решения (snowflake, redshift, bigquery, vertica, teradata, greenplum, azure dwh, clickhouse и т.д.), как писать и оптимизировать сложные sql запросы, дизайн распределенных систем, опыт mlops, опыт работы с hudi или iceberg или delta lake, умеете балансировать между mvp и собственным перфекционизмом.  мы готовы вам предложить:  удаленку или работу в офисе в москве, в омега плазе на метро автозаводская, расширенная дмс с первого рабочего дня, оплата профильных конференций, курсов, профессиональной литературы, партнерские программы (скидки на изучение английского языка skyeng, компенсация психологической помощи на платформе alter), митапы, лекции, воркшопы и интенсивы, прокачка навыков публичных выступлений (сделаем из вас крутого спикера), помощь в написании профессиональных статей и раскрутку вас, как автора, на профильных ресурсах (хабр, vc). ",350000,"2024-01-09 00:00:",москва,"dodo brands (dodo pizza, drinkit, кебстер)",microsoft power bi;python;sql;tableau;знание английского языка,"3-6",полный день,228
data engineer,"группа компаний betboom создаёт один из самых удобных и технологичных букмекерских продуктов на российском рынке. за девять лет мы выросли от новичка до одного из лидеров рынка. сейчас betboom – это более 400 клубов по всей россии, три офиса в москве и лидирующие позиции по трафику в онлайне среди букмекерских компаний (наш сайт входит в лидирующую группу букмекеров по трафику и пользователям в день). betboom занял 6-е место в категории «средние компании» среди работодателей россии (по версии hh.ru). бизнес-культура позволяет реализовывать смелые и прорывные идеи. профессиональная команда, вдохновляющая атмосфера. уважаемые кандидаты, обратите внимание на требования и условия чем предстоит заниматься:  организация процессов сбора, обработки и обмена данными; построение etl процессов (airflow/python); обеспечение сбора данных из внешних источников; участие в построении хранилища данных: проектирование, определение сущностей, формирование витрин данных; мониторинг и аудит работы системы (процесс, качество и сбои).  требования:  опыт разработки на python от 2 лет; опыт работы с airflow; навыки использования git; опыт работы с реляционными и колоночными субд (clickhouse, mariadb, postgresql); опыт разработки и оркестрации etl процессов.  что готовы тебе предложить:  гибкое начало рабочего дня, 5/2 (в пятницу сокращенный рабочий день); формат работы - офис/гибрид, полная занятость; удаленный формат готовы обсуждать оформление в аккредитованную ит-компанию по тк рф; офис - м. динамо; возможность попасть в уникальную индустрию, выполнять новые и интересные задачи, экспериментировать и принимать смелые решения; опытную команду единомышленников, готовую помочь в обучении и поддержать твои инициативы, профессиональный рост и развитие; отличное настроение на весь день: мы ценим командную работу, чувство юмора; заботу о твоём здоровье: расширенный дмс со стоматологией; хорошую физическую форму, оплачиваем фитнес, есть корпоративные спортивные секции; компенсация городской парковки.  уважаемые кандидаты, просим внимательно ознакомиться с описанием вакансии, требованиями, условиями, форматом работы и указывать зарплатные ожидания в сопроводительном письме. заранее благодарим.    ",300000,"2024-02-16 00:00:",москва,betboom,"","1-3",гибкий график,229
аналитик данных / data analyst,"привет! мы – carely. мы создаем классные продукты для красоты и здоровья. а чтобы делать это лучше и с каждым днем всё больше радовать наших покупателей — комбинируем лучшие практики it и fmcg-компаний. мы сфокусированы на beauty &amp; personal care сегменте fmcg. мы производим косметические средства под собственными брендами, которые представлены на ключевых маркетплейсах и в розничных парфюмерно-косметических сетях. чего в нашей компании нет:  субординации и строгой иерархии излишней бюрократии духовных скреп  что в нашей компании есть:  адекватная и профессиональная команда желание работать не ради потраченного времени, а ради крутых и впечатляющих результатов  кого мы ищем: мы ищем аналитика данных, для реализации комплексного расчета ключевых бизнес-показателей и метрик (финансы, логистика, маркетинг и т.п.) и дэшбордов для использования этих показателей в ежедневной работе. основные задачи:  создание и совершенствование, совместно с бизнес-командой, перечня основных операционных показателей и методологии их расчета; создание витрин, дэшбордов и регулярных отчетов по основным операционным показателям для различных бизнес-функций, с основным приоритетом в финансовой аналитике; поиск источников данных, формирование требований к интеграции с источниками; обеспечение качества данных, включая формирование требований к качеству, мониторинг, анализ и устранение причин и следствий проблем с качеством данных создание и ведение базы знаний и консультирование других сотрудников компании по показателями и их интерпретации анализировать и изучачать бизнес процессы компании, для выявления неоптимальных процессов  что нужно знать и уметь:  знать основные показатели управленческой отчетности для среднего бизнеса, в идеале связанного с fmcg; иметь опыт работы и уверенные знания в microsoft power bi, либо опыт работы хотя бы в одном из других популярных bi инструментов ( tableau, google data studio и т.д.) и быть готовым освоить power bi; структурированно описывать бизнес-процессы и модели данных, используемых в бизнес-процессе; уверенно владеть sql (сложные запросы, создание таблиц и представлений, индексы, в идеале опыт написания процедур на plsql); желательно знать основы python для работы с данными; желательно иметь опыт работы с хранилищем данных;  что мы предлагаем:   классный офис на большой тульской (5 минут от тульской);   свободный график работы – нам не важно кто и когда в офисе, нам важен результат твоей деятельности;   предлагаем на выбор: дмс, обучение, английский, фитнес-абонемент, сервис   ясно по льготному тарифу, а также корпоративный мерч и скидка на продукты компании;   адекватные коллеги;   возможность предлагать идеи по развитию компании, как делать свою работу лучше, уметь быть услышанным;   интересные (и иногда не очень) задачи;   p.s. будет отлично, если ты напишешь сопроводительное письмо, в котором расскажешь почему нам стоит познакомиться.",200000,"2024-02-12 00:00:",москва,carely,microsoft power bi;microsoft power bi;python;sql;аналитическое мышление,"1-3",удаленная работа,277
