"name","description","salary","publication_date","region_name","employer","main_skills","work_experience","work_schedule","id"
аналитик данных power bi,"требования: обязательно:  сбор данных и выгрузка массива данных из бд, анализ и объединение данных из разных источников (различные субд) проведение ad-hoc аналитики и предоставление данных по запросам sql (mysql) – сложные запросы, в том числе вложенные, различные виды джойнов, временные таблицы (temporary tables), агрегирующие функции power bi – модели данных, поддержка существующих и разработка новых дашбордов. понимание и корректная настройка архитектуры данных внутри power bi. понимание всех связей данных между внутренними таблицами (связь один ко многим, один к одному, многие ко многим) знание языка dax - свободное владение языком dax, понимание зачем нужны такие функции, как switch, userelationship, а также умение применять их на практике владение ms excel/google sheet на уровне формул и сводных таблиц участие в проектировании, разработке и поддержке системы etl и хранилищ данных (dwh) взаимодействие с командой для разработки и поддержки системы аналитики  не обязательно (будет преимуществом):  знание и понимание статистического анализа. знание методов машинного обучения понимание протокола http и основных методов запросов (get, post) умение работать с форматами данных, такими как json или xml    чем предстоит заниматься:  поддержка и доработка дашбордов в power bi. формирование аналитики в разных разрезах из текущей бд для внутренней erp. etl: извлечение данных из разных источников, много google таблиц, excel файлов с плохо структурированными данными. очистка, подготовка данных для загрузки в бд для внутренней erp. работа с текущими таблицами гугл/ексель с формулами.    условия:  мы - надежный работодатель: трудоустройство с 1 дня, полностью &quot;белая&quot; з/п. у вас будет product owner (с глубоким пониманием модели данных и бизнес-процессов), с которым вы будете работать в одной команде. график работы: понедельник-пятница с 9.00 до 18.00. уютная кухня для приема пищи. приятное начало рабочего дня: свежесваренный кофе/чай, вкусняшки. дмс или компенсация фитнеса/бассейна – после прохождения испытательного срока. профессиональное обучение/повышение квалификации за счет компании. интересная корпоративная жизнь (праздники, конкурсы, подарки детям и т.п.) корпоративная библиотека с разными жанрами книг (бизнес-литература, саморазвитие). ",140000,"2024-01-20 00:00:",новосибирская область,вэд агент,"","1-3",полный день,105
менеджер по развитию (аналитик данных),"группа компаний &quot;деловые линии&quot;‚ один из лидеров в сфере междугородних грузоперевозок‚ приглашает кандидатов на вакансию менеджер по развитию (аналитик данных)   задачи для вас:  разработка инструментов для бизнеса на базе ms sql, powerbi и excel; проведение глубинных интервью с заказчиками по выявлению потребностей; поддержка и доработка существующей отчетности; оказание консультаций по возникающим у пользователей вопросам.    нам с вами по пути, если у вас есть:  высшее образование; опыт работы от 2-х лет в сфере аналитики данных; знание языка запросов ms sql; опыт работы с многомерными моделями dax; опыт работы с табличным процессором ms excel, встроенными в него средствами визуализации и обработки данных; понимание этики делового общения; желание развиваться.    гарантии от нас:  работа в крупной транспортно-логистической компании федерального уровня; оформление в соответствии с требованиями тк рф; прозрачная система оплаты труда: стабильный оклад и премия за выполнение kpi; профессиональная команда руководителей и наставников; постоянное развитие: внутренние вебинары, тренинги и мастер-классы, обмен экспертизой и знаниями; корпоративная библиотека; программа скидок и предложений от партнеров; кафетерий льгот после одного года работы (на выбор: полис дмс со стоматологией или компенсация затрат на фитнес, отдых, проценты по ипотеке); предоставление корпоративной мобильной связи; график работы: пятидневная рабочая неделя с 9:00 до 18:00, гибридный/удаленный формат после адаптации; место расположения офиса: г. краснодар ул. имени александра покрышкина, 2/12э.  трудоустройство осуществляет ооо &quot;деловые линии&quot;. &quot;деловые линии&quot; включены в перечень системообразующих организаций, утвержденный министерством транспорта рф. работать в &quot;деловых линиях&quot; – это надежно и стабильно! станьте частью нашей команды!&quot;",120000,"2024-02-05 00:00:",краснодарский край,деловые линии,microsoft sql server;microsoft power bi;sql;разработка bi;управление базами данных,"1-3",полный день,145
data engineer,"группа компаний betboom создаёт один из самых удобных и технологичных букмекерских продуктов на российском рынке. за девять лет мы выросли от новичка до одного из лидеров рынка. сейчас betboom – это более 400 клубов по всей россии, три офиса в москве и лидирующие позиции по трафику в онлайне среди букмекерских компаний (наш сайт входит в лидирующую группу букмекеров по трафику и пользователям в день). betboom занял 6-е место в категории «средние компании» среди работодателеи? россии (по версии hh.ru). бизнес-культура позволяет реализовывать смелые и прорывные идеи. профессиональная команда, вдохновляющая атмосфера. уважаемые кандидаты, обратите внимание на требования и условия чем предстоит заниматься:  организация процессов сбора, обработки и обмена данными; построение etl процессов (airflow/python); обеспечение сбора данных из внешних источников; участие в построении хранилища данных: проектирование, определение сущностей, формирование витрин данных; мониторинг и аудит работы системы (процесс, качество и сбои).  требования:  опыт разработки на python от 2 лет; опыт работы с airflow; навыки использования git; опыт работы с реляционными и колоночными субд (clickhouse, mariadb, postgresql); опыт разработки и оркестрации etl процессов.  что готовы тебе предложить:  гибкое начало рабочего дня, 5/2 (в пятницу сокращенный рабочий день); формат работы - офис/гибрид, полная занятость; удаленный формат готовы обсуждать оформление в аккредитованную ит-компанию по тк рф; офис - м. динамо; возможность попасть в уникальную индустрию, выполнять новые и интересные задачи, экспериментировать и принимать смелые решения; опытную команду единомышленников, готовую помочь в обучении и поддержать твои инициативы, профессиональный рост и развитие; отличное настроение на весь день: мы ценим командную работу, чувство юмора; заботу о твоём здоровье: расширенный дмс со стоматологией; хорошую физическую форму, оплачиваем фитнес, есть корпоративные спортивные секции; компенсация городской парковки.  уважаемые кандидаты, просим внимательно ознакомиться с описанием вакансии, требованиями, условиями, форматом работы и указывать зарплатные ожидания в сопроводительном письме. заранее благодарим.    ",300000,"2024-02-16 00:00:",москва,betboom,"","1-3",гибкий график,147
аналитик 1c:erp / 1c:erp we,"autoallianse является надежным поставщиком оригинальных автозапчастей на рынке рф. решает комплексные задачи поставок автозапчастей, начиная от помощи в размещении заказа, заканчивая логистикой груза до склада клиента. портфель брендов компании насчитывает более 50 контрактов с ведущими мировыми и российскими производителями автозапчастей. мы усиливаем команду для реализации амбициозного международного проекта по внедрению «1с:erp world edition»! проект будет номинирован в конкурсе &quot;1с: проект года&quot; в 2024 году  важно!!! офис/гибрид, обратите внимание на наш адрес!  создание межнациональной модульной распределенной информационной системы для управления материальными и денежными ресурсами; разработка витрины данных для консолидации сведений о состоянии оплаты и доставки товаров; реализация обменов с сайтами и маркетплейсами; создание личного кабинета поставщика, личного кабинета покупателя; обеспечение работы высоконагруженных адресных складов, интеграция с торговым оборудованием (сканеры шк, принтеры этикеток, весы, тсд) и мобильным приложением (тсд); разработка логистической подсистемы для формирования оптимальных маршрутов и расчета стоимости доставки; интеграция с учетными системами поклажедателей, поклажедержателей, перевозчиков; поддержка мультивалютности и мультиязычности; интеграция с национальными системами учета.  что мы можем предложить:  быстрая прокачка профессиональных компетенций. работа с топовым продуктом «1с:erp world edition» опыт использования и разработки собственных web- и http-сервисов, витрины данных. практика использования автоматизированного тестирования и devops-инструментов.  обязанности:  описание бизнес-процессов, разработка функциональных требований. функциональное моделирование в 1c:erp we взаимодействие с программистами по задачам, приемка работ разработка документации по работе с программой  требования:  аналитический склад ума! знание не менее двух подсистем 1c:erp (оперативный учет, финансовый учет, регл.учет / мсфо, адресный склад) опыт проектной работы (руководитель проекта / тимлид / продакт), разработка собственных конфигураций, внедрение типовых конфигураций в масштабах предприятия будут плюсом; опыт использования devops инструментов будет плюсом  условия:   уважаемые соискатели! до офиса нашей компании ходят бесплатные шаттлы от м.ховрино, мцд ст.марк, м.алтуфьево  достойный уровень дохода - готовы обсуждать пожелания кандидата; работа в успешной стабильной компании; на период испытательного срока работа в офисе! полностью белая заработная плата, полный соц.пакет; перспективы развития и карьерного роста; график работы с 09-00 до 18-00, офисный/гибридный график работы. современный комфортный офис в бц &quot;квадрум&quot;; дружная команда! ",200000,"2024-02-22 00:00:",москва,фаттура,"","3-6",полный день,172
аналитик данных / data analyst,"привет! мы – carely. мы создаем классные продукты для красоты и здоровья. а чтобы делать это лучше и с каждым днем всё больше радовать наших покупателей — комбинируем лучшие практики it и fmcg-компаний. мы сфокусированы на beauty &amp; personal care сегменте fmcg. мы производим косметические средства под собственными брендами, которые представлены на ключевых маркетплейсах и в розничных парфюмерно-косметических сетях. чего в нашей компании нет:  субординации и строгой иерархии излишней бюрократии духовных скреп  что в нашей компании есть:  адекватная и профессиональная команда желание работать не ради потраченного времени, а ради крутых и впечатляющих результатов  кого мы ищем: мы ищем аналитика данных, для реализации комплексного расчета ключевых бизнес-показателей и метрик (финансы, логистика, маркетинг и т.п.) и дэшбордов для использования этих показателей в ежедневной работе. основные задачи:  создание и совершенствование, совместно с бизнес-командой, перечня основных операционных показателей и методологии их расчета; создание витрин, дэшбордов и регулярных отчетов по основным операционным показателям для различных бизнес-функций, с основным приоритетом в финансовой аналитике; поиск источников данных, формирование требований к интеграции с источниками; обеспечение качества данных, включая формирование требований к качеству, мониторинг, анализ и устранение причин и следствий проблем с качеством данных создание и ведение базы знаний и консультирование других сотрудников компании по показателями и их интерпретации анализировать и изучачать бизнес процессы компании, для выявления неоптимальных процессов  что нужно знать и уметь:  знать основные показатели управленческой отчетности для среднего бизнеса, в идеале связанного с fmcg; иметь опыт работы и уверенные знания в microsoft power bi, либо опыт работы хотя бы в одном из других популярных bi инструментов ( tableau, google data studio и т.д.) и быть готовым освоить power bi; структурированно описывать бизнес-процессы и модели данных, используемых в бизнес-процессе; уверенно владеть sql (сложные запросы, создание таблиц и представлений, индексы, в идеале опыт написания процедур на plsql); желательно знать основы python для работы с данными; желательно иметь опыт работы с хранилищем данных;  что мы предлагаем:   классный офис на большой тульской (5 минут от тульской);   свободный график работы – нам не важно кто и когда в офисе, нам важен результат твоей деятельности;   предлагаем на выбор: дмс, обучение, английский, фитнес-абонемент, сервис   ясно по льготному тарифу, а также корпоративный мерч и скидка на продукты компании;   адекватные коллеги;   возможность предлагать идеи по развитию компании, как делать свою работу лучше, уметь быть услышанным;   интересные (и иногда не очень) задачи;   p.s. будет отлично, если ты напишешь сопроводительное письмо, в котором расскажешь почему нам стоит познакомиться.",200000,"2024-02-12 00:00:",москва,carely,microsoft power bi;microsoft power bi;python;sql;аналитическое мышление,"1-3",удаленная работа,176
аналитик,"exbico group – гибкая, современная it компания, основанная в 2009 году.разработчик онлайн b2b/b2c сервисов и кредитно-финансовых маркетплейсов. компания exbico group резидент инновационного центра &quot;сколково&quot;?. за 14 лет работы уже было успешно реализовано множество проектов, некоторые из которых – это основные продукты с устойчивой экономикой и наработанной пользовательской аудиторией. что нужно будет делать:   проектированием и поддержка дашбордов, решающие регулярные бизнесовые и финансовые задач, с помощью bi и аналитики;   помогать po выстраиванием метрик, «визуализацией для принятия решений»;   автоматизацией получения и поставки данных для различных источников;   выявлять потребности бизнеса и отвечать на его вопросы с помощью данных;   что мы хотим видеть:  уверенное знание sql; способность излагать мысли простыми словами и доносить главное; умение выявлять истинные потребности заказчика;  усидчивость, внимательность.     будет преимуществом:   etl процессы;   grafana;   powerbi;   python   clickhouse.   важно и интересно:  отличная рабочая атмосфера без дресс-кода и лишней бюрократии; трудоустройство согласно тк рф: белая и официальная заработная плата до 100 000 рублей, готовы обговаривать с финальным кандидатом; график работы: 5/2, восьмичасовой рабочий день с 10:00 до 19:00; комфортный офис в центре екатеринбурга: ул. 8 марта, д. 32а; выстроенная система адаптации, опытный наставник на все время испытательного срока.  развитие и забота о сотрудниках:  компания готова оплачивать профильные курсы и участие в профессиональных конференциях (в том числе поездки на ит-конференции, митапы);  предоставляем всю необходимую технику для работы;  дмс: частичная компенсация в зависимости от стажа работы; performance review (индивидуальный план развития) для сотрудников компании; развитая корпоративная культура: сплавы, киновечера и многое другое.  наша ценность - это люди. поэтому, мы делаем большой вклад в профессиональное развитие наших сотрудников. высоко ценим каждого заинтересованного в развитии себя и компании. p.s.: мы разные, но одно целое. ценим человечный подход в рабочих делах, поддерживаем дружескую атмосферу и развлекаемся на полную катушку вне офиса.здесь ты точно найдешь единомышленников и друзей!",100000,"2023-12-07 00:00:",свердловская область,exbico group,sql;аналитическое мышление,"1-3",полный день,156
senior/middle data-аналитик,"мы делаем трейдинговую платформу на рынках индии, бангладеша, пакистана, шри-ланки. у нас уже есть пользователи, продукт, но мы все ещё в активном поиске product market fit, а это предполагает постоянное тестирование гипотез, скорость, смелость, работа с высокой степенью неопределенности сейчас мы меняем нашу стратегию. из продукта, который привлекает пользователей через призывы к манимейкингу, мы строим продукт, где обучаем пользователей работать с рисками и плавно погружаться в трейдинг без серьезных потерь денег. верим, что это значительно увеличит доверие и непременно скажется на ltv и экономике продукта в целом, позволит нам быстрее масштабироваться наша компания проделала длинный путь, от группы единомышленников до международной компании, которая помогла развиться большому числу проектов-стартапов вырасти в самостоятельный и успешный бизнес, который присутствует на рынках россии, снг, латинской америки, азии. итак, сейчас мы в поисках senior/middle data-аналитика наши ожидания:   активно участвовать в дискавери-процессах: искать и предлагать возможности для роста метрик продуктовой команды и всей компании, проводить соответствующие исследования;   продумывать дизайн а/b тестов, интерпретировать результаты;   активно участвовать в создании системы a/b тестирования, добавлять новые метрики в систему a/b-тестов, проверять метрики на статистическую корректность;   ad-hoc отчеты. надо быстро выгрузить оперативный отчет для какой-то задачи;   искать точки роста и генерировать гипоетзы по улучшению продукта   что бы хотелось нам:   отличное знание sql. это основной рабочий инструмент аналитика, поэтому на собеседовании мы в первую очередь проверяем навыки написания sql-запросов   уверенное знание python с аналитическими библиотеками и sql: clickhouse, mysql;   опыт проведения a/b-тестов и знание теоретической базы для их проведения: знание математической статистики и теории вероятностей;   опыт работы с любым bi-инструментом (metabase, powerbi);   интересуется современными практиками визуализации данных;   инициативен, интересуется как анализом данных, так и бизнесом, внимателен к деталям, умеет презентовать результаты своего анализа разным аудиториям;   имеет опыт работы продуктовым аналитиком или аналитиком данных от 2х лет   будет плюсом:   был опыт создания инфраструктуры системы аналитики с нуля или её доработки в связке с devops   что мы предлагаем:   удаленка или офис в казани (ит-парк или бц сфера). команда отлично работает распределенно   супер приятный коллектив, здоровая атмосфера и взаимная поддержка   возможность принимать самостоятельные решения на основе подхода vision-driven, data-informed   принимать прямое участие в создании продукта на миллионы пользователей  ",300000,"2023-12-25 00:00:",республика татарстан,miles&miles,проведение a/b тестирования;разработка bi;python;sql,"3-6",полный день,315
financial data analyst (reconciliation process),"about the job our company is growing rapidly and is looking to fill the role of financial data analyst. if you are looking for an exciting place to work, please take a look at the list of qualifications below. if you don’t fill all of the qualifications, you may still be considered depending on your level of experience. about payler payler is a london-based global fintech business, eastern european roots, with over 10yrs track record in payments processing. we offer a unified platform for all financial operations of a company: multicurrency accounts, local &amp; international payments, payments acceptance, corporate cards, fx and much more. we empower passionate problem-solvers to collaborate, innovate and do their best work. we’re building a diverse and inclusive global team — that’s how we create even better experiences for our merchants and partners. and we need your help. so, join us to build tomorrow, today! we are remote-first, you can be based anywhere.  knowledge and abilities  you have strong written and verbal english (c1) and russian skills to efficiently and effectively communicate with teams you demonstrate full competency with excel you have basic knowledge of sql (as a plus) you have strong analytical skills you are results-oriented you are good-natured, and a generally positive person  ability to  work with large data arrays - big data analytics, extract insights and draw conclusions from data build processes (ex. reconciliation process) from scratch   experience  worked as a data analyst in banking or fintech (is a must) worked in payment startups (is a plus) worked in finance departments (is a plus)  what you will be doing  build reconciliation process from scratch, coordinate with product and tech team to develop internal systems and controls reconcile various payment flows across businesses, collate payment information from multiple sources identify data discrepancies &amp; resolve them, communicate with acquirer and merchant representatives reconcile balances due from/to acquirers and merchants calculate payler’s fee for providing payment services, check your calculations with acquirer&#39;s calculations, deal with discrepancies prepare and issue reconciliation acts and invoices to acquirers and merchants, ensure the balances due are paid on time  the benefits of being with payler  100 % remote from any country in the world a multinational fast-growing and scalable fintech startup in full growth in europe that is always forward-thinking the opportunity to fully immerse yourself in the world of fintech - excellent internal progression opportunities an experienced team composed of diverse and above all nice profiles ",200000,"2024-01-21 00:00:",москва,payler,microsoft excel,"1-3",удаленная работа,378
it бизнес-аналитик (it проекты),"группа компаний сидиси (cdc) (центр корпоративных разработок) – одна из ведущих компаний на российском рынке автоматизации бизнес-процессов компаний различных отраслей экономики и сфер бизнеса. наши клиенты-– крупнейшие компании-лидеры в области fmcg, банковской сфере, энергетике, транспорта, логистики и телеком. мы создаем и внедряем собственное программное обеспечение, которое позволяет решить такие задачи как:  техническое обслуживание и ремонт оборудования (тоир); мониторинг промышленного оборудования и основных производственных активов предприятия; планирование маршрутов и спутниковый мониторинг транспорта и персонала; мобильная торговля (сбор заказов, мерчендайзинг, торговля «с колес»); контроль дистрибьюторов; распознавание и анализ товаров в торговле, дистанционное обучение и др.  любим и верим в то, что делаем!   мы ищем it бизнес-аналитика, который умеет: разбираться в сложных бизнес-процессах, видеть и предлагать решения по их оптимизации.   обязанности:  интервьюирование, сбор, анализ и формализация бизнес-требований. выявление узких мест, анализ и предложение вариантов оптимизации (автоматизации) процессов. разработка проектных документов на автоматизацию бизнес-процессов (технические задания, регламенты, пользовательские инструкции и документацию для клиентов). участие в проведении приемо-сдаточных испытаний, подготовка протоколов проведения испытаний.  требования:  опыт работы в it проектах по разработке по для разных отраслей и сфер бизнеса от 2х лет. опыт сбора и анализа требований: умение выявить проблему, предложить, описать и согласовать способы ее решения. знание методологий моделирования и анализа бизнес процессов. знание и умение применять различные нотации. знание принципов и этапов разработки проектных документов и системы проектного документооборота. умение выстраивать коммуникацию с заказчиками и it командой. понимание процесса разработки по. орфографическая и пунктуационная грамотность, лаконичность. аналитический склад ума, ориентация на результат, системный подход, коммуникабельность.  будет в плюс, если:  есть понимание системного анализа и технических деталей. понимание основ подготовки документов по гост {19,24,34}, рд 50-34.698-90.  условия:  работа над интересными проектами в профессиональной команде. официальное трудоустройство по тк рф с первого дня работы. достойная заработная плата (уровень обсуждается на собеседовании). гибкий график работы, обсуждается по согласованию с командой.  при отклике просьба присылать ожидания по доходу и ссылки на портфолио/примеры работ (если есть).  удаленная работа. ",100000,"2024-01-15 00:00:",республика татарстан,гк сидиси (cdc),bpmn;uml;аналитическое мышление;разработка bi;знание нормативно-правовых документов;организация и управление бизнес-процессами;оптимизация бизнес-процессов;чтение проектной документации;разработка проектной документации;формирование технических заданий,"1-3",полный день,391
аналитик (разработчик),"бкс мир инвестиций – международная инвестиционно-банковская компания, одна из крупнейших в россии. мы существуем на рынке уже 28 лет и предоставляем клиентам максимально широкий спектр брокерских и инвестиционных услуг. сегодня бкс мир инвестиций обслуживает более 1 млн клиентов, а в холдинге работает около 6000 сотрудников – наши филиалы расположены по всей россии. мы знаем об инвестициях все и успешно помогаем нашим клиентам достигать финансовых целей: создаем универсальную платформу для инвестиций и предлагаем широкий спектр услуг и продуктов – только самые эффективные инструменты, высококачественную аналитику и сильнейшую экспертизу. присоединяйся к нашей команде, если тебе интересна финансово-инвестиционная сфера, профессиональный и карьерный рост и финансовый успех! чем предстоит заниматься:  собирать, анализировать и утверждать с заказчиком требований на разработку новой и доработку действующей отчетности; собирать / дорабатывать витрины данных, на основании которых формируется отчетность; собирать / дорабатывать визуализации отчетности в excel / bi; поддерживать и контролировать качества данных в действующей отчетности; выгружать ad-hoc запросы; анализировать данные и проводить оценку существующей отчетности, осуществлять разработку и внедрение предложений по ее оптимизации.  наши ожидания:  высшее образование; опыт работы с отчетностью по направлению продаж (предпочтителен опыт в финансовом секторе) не менее 2 лет; умение получать нужную информацию из неструктурированного исходного материала: интервью, письма, встречи; умение работать с большим количеством данных и обрабатывать их; владеете excel, sql, tableau (любая система bi) на продвинутом уровне; опыт работы с vba будет преимуществом быть самостоятельным, проактивным и отвечать за результат.  мы предлагаем:  заработную плату: конкурентный уровень оклада + премии; мероприятия по дополнительной мотивации; комфортный офис в центре (м. проспект мира); работу в компании-лидере инвестиционного рынка; оформление согласно тк рф; активную корпоративную жизнь и дружную команду; дмс, корпоративные скидки и предложения для сотрудников ",150000,"2024-02-16 00:00:",москва,компания бкс,разработка bi;организация и управление бизнес-процессами;ведение финансовой отчетности,"1-3",полный день,395
